emp_no,first_name,last_name,title,from_date,salary
482539,Bikash,Pehl,Senior Engineer,2002-06-08,40000
407824,Sreekrishna,Kalsbeek,Senior Engineer,2002-06-08,64167
102483,Qingxiang,Boissier,Senior Engineer,2002-06-07,40000
451441,Sahrah,Rijckaert,Senior Staff,2002-06-07,56396
228524,Erzsebet,Androutsos,Senior Engineer,2002-06-07,40000
44060,Luigi,Brattka,Senior Engineer,2002-06-07,40000
108985,Masanao,Bressoud,Senior Engineer,2002-06-06,59458
39883,Moriyoshi,Luan,Senior Engineer,2002-06-06,40000
447132,Masaru,Crelier,Senior Staff,2002-06-06,50938
65568,Mark,Ventosa,Senior Engineer,2002-06-06,44039
489782,Jiong,Schnabel,Senior Engineer,2002-06-06,60818
108179,Constantijn,Crelier,Senior Engineer,2002-06-05,54941
419062,Stafford,Walstra,Senior Engineer,2002-06-05,70299
400141,Suebskul,Rassart,Senior Engineer,2002-06-04,46768
84809,Hironoby,Zobel,Senior Engineer,2002-06-03,40000
96083,Khalil,Muchinsky,Senior Staff,2002-06-03,47965
29120,Parto,Bergere,Senior Staff,2002-06-03,85465
250129,Karoline,Duclos,Senior Engineer,2002-06-03,40000
409153,Arie,Backhouse,Senior Staff,2002-06-02,80090
465904,Lorien,Schmezko,Senior Engineer,2002-06-02,40000
229461,Berto,Raczkowsky,Senior Staff,2002-06-02,77682
438544,Faiza,Lukaszewicz,Senior Engineer,2002-06-02,40000
437678,Val,Pocchiola,Senior Engineer,2002-06-01,44462
27396,Brendon,Zykh,Senior Engineer,2002-06-01,55838
18946,Gio,Warwick,Senior Engineer,2002-06-01,40000
202360,Indrajit,Jeong,Senior Staff,2002-06-01,48372
14723,Constantino,Assaf,Senior Staff,2002-06-01,40000
298276,Zito,Sgarro,Senior Engineer,2002-06-01,40000
91228,Hauke,Leijenhorst,Senior Engineer,2002-05-31,54436
274044,Yuchang,Erni,Senior Engineer,2002-05-30,55056
229649,DAIDA,Montresor,Senior Engineer,2002-05-29,40000
34600,Godehard,Middleton,Senior Staff,2002-05-29,67242
262663,Fumino,Riexinger,Senior Staff,2002-05-28,42308
413791,Jiong,Zaumen,Senior Staff,2002-05-28,60814
480670,Sanjoy,Penz,Senior Staff,2002-05-28,92833
473812,Khue,Levergood,Senior Staff,2002-05-28,79856
30948,Xinan,Lunt,Senior Engineer,2002-05-27,50840
284056,Tze,Ambroszkiewicz,Senior Engineer,2002-05-27,63252
261527,Arunachalam,Butner,Senior Engineer,2002-05-27,41800
498311,Rajmohan,Zeidenstein,Senior Staff,2002-05-27,46937
65663,Rafael,Leppanen,Senior Engineer,2002-05-26,50166
266827,Udi,Gronowski,Senior Engineer,2002-05-26,40000
412444,Gio,Fritzsche,Senior Engineer,2002-05-26,53835
449520,Navid,Mansanne,Senior Staff,2002-05-26,40000
93291,Kasidit,Hofstetter,Senior Staff,2002-05-26,60896
444553,Nikolaus,Gluchowski,Senior Staff,2002-05-25,97585
285348,Jianhui,Bardell,Senior Engineer,2002-05-24,40000
67227,Shuky,Showalter,Senior Engineer,2002-05-24,40000
39405,Toong,Millington,Senior Engineer,2002-05-24,50102
109010,Shaibal,Yavatkar,Senior Engineer,2002-05-23,40000
416096,Nobuyoshi,Ginneken,Senior Engineer,2002-05-23,47236
412093,Avishai,Engelmann,Senior Staff,2002-05-23,91917
459483,Shmuel,Docker,Senior Staff,2002-05-21,69722
290062,Godehard,Morrow,Senior Staff,2002-05-21,66211
481695,Bikash,Pusterhofer,Senior Staff,2002-05-21,40000
455054,Ingemar,Lores,Senior Staff,2002-05-21,63990
471991,Janche,Farrag,Senior Engineer,2002-05-21,40000
203318,Xudong,Cooley,Senior Engineer,2002-05-21,56536
64556,Xiaopeng,Fritzsche,Senior Engineer,2002-05-21,40000
70164,Ult,Bergere,Senior Engineer,2002-05-20,52833
19120,Giri,Qiwen,Engineer,2002-05-20,49416
59242,Fun,Peak,Senior Staff,2002-05-19,65859
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731
87769,Subhrajyoti,Tomescu,Senior Engineer,2002-05-19,76979
266333,Moss,Oppitz,Senior Staff,2002-05-19,52343
277729,Shirish,Nanard,Senior Staff,2002-05-19,40000
281084,Sven,Bugaenko,Senior Engineer,2002-05-18,41542
472720,Gal,Sudbeck,Senior Engineer,2002-05-18,40000
412644,Gritta,Kropatsch,Senior Staff,2002-05-17,56090
274463,Uli,Glowinski,Senior Engineer,2002-05-17,40000
459031,Kazuhiro,Raoux,Senior Staff,2002-05-16,55137
401000,Barry,Reeker,Senior Engineer,2002-05-16,70084
401410,Hitomi,Domenig,Senior Staff,2002-05-16,40000
464504,Weiwu,Shrader,Senior Staff,2002-05-16,60909
266049,Odysseas,Delaune,Senior Staff,2002-05-15,67285
283496,Kenroku,Flasterstein,Senior Staff,2002-05-15,69688
486372,Hsiangchu,Renear,Senior Staff,2002-05-14,63537
274554,Sakthirel,Rattan,Senior Engineer,2002-05-13,56199
467357,Suebskul,Lichtman,Senior Engineer,2002-05-13,48994
431480,Zhigen,Christ,Senior Staff,2002-05-13,63778
31956,Ziyad,Gecsei,Senior Staff,2002-05-13,59475
271603,Szabolcs,Carrere,Senior Staff,2002-05-12,40000
292776,Marie,Zeidenstein,Senior Staff,2002-05-12,42843
108053,Abdelghani,Nilsson,Senior Staff,2002-05-11,76316
65858,Martins,Awdeh,Senior Engineer,2002-05-11,40189
36874,Genki,Aloia,Senior Staff,2002-05-11,62935
474895,Michaela,Hertweck,Senior Staff,2002-05-10,46350
35046,Sachem,Luders,Senior Staff,2002-05-10,62184
476933,Mayuri,Kobara,Senior Staff,2002-05-10,40000
471529,Munir,Aloia,Senior Staff,2002-05-10,76906
475221,Yuqun,Rassart,Senior Engineer,2002-05-10,65150
202418,Xumin,Vuskovic,Senior Staff,2002-05-09,55459
23369,Khalil,Zykh,Senior Staff,2002-05-09,61057
264126,Toshiki,Thimonier,Engineer,2002-05-09,71356
204131,Kazuhira,Luit,Senior Staff,2002-05-09,40000
70052,Vivian,Hartvigsen,Senior Engineer,2002-05-09,47782
417510,Yonghong,Ernst,Senior Staff,2002-05-08,57967
99161,Ramya,Heyers,Senior Engineer,2002-05-08,51933
426864,Dines,Rissanen,Senior Engineer,2002-05-08,58175
422685,Reinhard,Oxman,Senior Engineer,2002-05-08,71169
481872,Moty,Usdin,Senior Engineer,2002-05-07,40000
223927,Bernice,Furudate,Senior Engineer,2002-05-07,40000
419470,Larisa,Antonakopoulos,Senior Staff,2002-05-07,40000
271272,Willard,Matheson,Senior Engineer,2002-05-07,40000
66425,Mats,Eppinger,Senior Engineer,2002-05-07,57825
287152,Raimond,Comte,Senior Staff,2002-05-07,40000
444641,Unal,Zallocco,Senior Engineer,2002-05-06,58458
498670,Aram,Menyhert,Senior Staff,2002-05-06,69027
426274,Valdiodio,Pillow,Senior Engineer,2002-05-06,59911
228655,Jiong,Blokdijk,Senior Staff,2002-05-05,71596
107245,Horward,Docker,Senior Staff,2002-05-05,68492
16000,Marek,Demos,Senior Engineer,2002-05-05,40000
422614,Anneke,Wuwongse,Senior Engineer,2002-05-05,40000
18933,Barun,Panienski,Senior Engineer,2002-05-04,47862
272945,Tran,Mayerwieser,Senior Engineer,2002-05-03,40000
99981,Rimon,Grandbois,Senior Engineer,2002-05-03,48230
415404,Zhongwei,Gonthier,Senior Engineer,2002-05-03,40000
45828,Panayotis,Litzkow,Senior Engineer,2002-05-02,65770
411544,Byong,Legleitner,Senior Staff,2002-05-02,71666
70530,Qunsheng,Stille,Senior Engineer,2002-05-02,40000
297486,Qingxiang,Ducloy,Senior Staff,2002-05-02,40000
442862,Munehiro,Dayang,Senior Staff,2002-05-02,43013
221356,Pradeep,Hagimont,Senior Engineer,2002-05-01,43732
254292,Pranas,Eppinger,Senior Staff,2002-05-01,82442
293946,Nadjib,Merro,Senior Staff,2002-05-01,45167
284809,Tru,Danner,Senior Engineer,2002-04-30,76478
413671,Aral,Moehrke,Senior Staff,2002-04-30,78073
271344,Eckart,Rodiger,Senior Staff,2002-04-30,40000
216965,Badri,Birke,Senior Staff,2002-04-30,54761
217451,Sanjoy,Giarratana,Senior Staff,2002-04-30,57706
490337,Faiza,Clemencon,Senior Engineer,2002-04-29,40000
254043,Saddek,Peng,Senior Staff,2002-04-29,40000
206416,Ronnie,Kopetz,Senior Staff,2002-04-29,59918
232416,Tokuyasu,Binkley,Senior Engineer,2002-04-29,59754
238847,Barton,Buchter,Senior Engineer,2002-04-29,40000
460851,Uzi,Anily,Senior Staff,2002-04-28,40000
90261,Rimli,Merle,Senior Engineer,2002-04-28,40000
210671,Serap,Tsukuda,Senior Staff,2002-04-28,40000
448037,Niclas,Trachtenberg,Senior Engineer,2002-04-28,57671
230188,Snehasis,Krychniak,Senior Staff,2002-04-27,40000
214078,Surveyors,Merli,Senior Staff,2002-04-27,76255
75589,Sudharsan,Ghazalie,Senior Staff,2002-04-27,41806
447008,Zsolt,Cooman,Senior Staff,2002-04-27,67211
44875,Goh,Reinhart,Senior Staff,2002-04-26,73457
462140,Josyula,Chleq,Senior Engineer,2002-04-26,40000
485212,Magdalena,Besancenot,Senior Engineer,2002-04-26,40000
226987,Arif,Delgrossi,Engineer,2002-04-25,55209
107101,Moni,Crabtree,Senior Engineer,2002-04-24,40232
218927,Saddek,Jenevein,Senior Staff,2002-04-23,60013
97104,Chiranjit,Ashish,Senior Engineer,2002-04-23,60436
481526,Shim,Stemann,Senior Engineer,2002-04-22,40000
108627,Kenroku,Harbusch,Senior Staff,2002-04-22,56920
214753,Stafford,dAstous,Senior Engineer,2002-04-22,40000
244654,Suzette,Katiyar,Senior Engineer,2002-04-21,55724
424205,Paris,Shumilov,Senior Engineer,2002-04-21,40000
228285,Weiwu,Pollock,Senior Engineer,2002-04-21,40000
263061,Xiaobin,Jenevein,Senior Staff,2002-04-21,65580
297639,Serenella,Auyong,Senior Engineer,2002-04-21,48298
413911,Siamak,Karlin,Senior Engineer,2002-04-21,65383
212742,Gal,Melter,Senior Staff,2002-04-20,69846
424250,Suzette,Wendorf,Senior Staff,2002-04-19,63665
72400,Charmane,Merel,Senior Staff,2002-04-19,40000
292464,Gennady,Choobineh,Senior Engineer,2002-04-19,40000
19422,Florian,Budinsky,Senior Engineer,2002-04-18,48435
456361,Bouchung,Georgatos,Senior Engineer,2002-04-18,40000
267012,Armond,Lodder,Senior Engineer,2002-04-17,49569
435126,Zeydy,Bernardeschi,Senior Staff,2002-04-17,41687
98766,Gretta,Buchter,Senior Engineer,2002-04-16,69215
19493,Caolyn,Tramer,Senior Engineer,2002-04-16,59120
410798,Fumiyo,Plumb,Senior Engineer,2002-04-16,51953
410029,Martins,Lung,Senior Engineer,2002-04-16,63720
86674,Fumiya,Candan,Senior Staff,2002-04-16,40000
288461,Nathan,Madeira,Senior Staff,2002-04-15,68688
202677,LiMin,Decaestecker,Senior Engineer,2002-04-15,40000
439518,Kenroku,Homond,Senior Engineer,2002-04-15,40000
105886,Stafford,Mitchem,Senior Staff,2002-04-15,79210
259726,Houman,Cyne,Senior Engineer,2002-04-15,40000
474388,Shooichi,Bach,Senior Staff,2002-04-14,64476
401593,Susanna,Seiwald,Senior Staff,2002-04-14,65315
239287,Mario,Katiyar,Senior Engineer,2002-04-14,48533
438267,Malu,Sichman,Senior Staff,2002-04-14,44058
104941,Yonghong,Schaap,Senior Engineer,2002-04-13,43708
443823,Chaitali,Axelband,Senior Staff,2002-04-13,54033
216138,Giordano,Shanbhogue,Senior Engineer,2002-04-13,40000
481502,Bikash,Fordan,Senior Engineer,2002-04-13,40000
444370,Masanao,Genin,Senior Staff,2002-04-12,40000
440010,King,Lamma,Senior Engineer,2002-04-12,40000
266708,Nahid,Ariola,Senior Engineer,2002-04-12,40000
287646,Otilia,Etalle,Senior Engineer,2002-04-11,40000
440400,Vasiliy,Karlin,Senior Staff,2002-04-11,73947
268436,Phuoc,Onuegbe,Senior Engineer,2002-04-11,40000
212042,Sigeru,Brizzi,Senior Staff,2002-04-09,46054
487849,Sanjiv,Perna,Senior Engineer,2002-04-08,47070
262566,Rafols,Ladret,Senior Engineer,2002-04-08,40000
292712,Gro,Leuchs,Senior Engineer,2002-04-08,55328
39323,Zita,Ratnaker,Senior Engineer,2002-04-08,53506
71545,Denny,Nittel,Senior Staff,2002-04-06,47637
218592,Shalesh,McDermid,Senior Staff,2002-04-06,67463
469145,Berhard,Szilard,Senior Staff,2002-04-05,40000
431731,Jianhao,Ermel,Engineer,2002-04-05,54343
245969,Akhilish,Kushner,Senior Staff,2002-04-04,72956
452093,Fun,Menhoudj,Senior Engineer,2002-04-02,58624
251971,Harjit,Demke,Senior Engineer,2002-04-02,64062
36877,Shahaf,Ranst,Senior Staff,2002-04-02,63066
243592,Radhia,Frolund,Senior Staff,2002-04-02,59404
203376,Rajmohan,Curless,Senior Staff,2002-04-02,40000
264848,Gino,Fandrianto,Senior Engineer,2002-04-01,46133
487986,Jackson,Geffroy,Senior Staff,2002-03-31,86827
457054,Pascal,Litecky,Senior Engineer,2002-03-31,40000
21432,Kerhong,Weisert,Senior Staff,2002-03-30,45799
279105,Shuichi,Litecky,Senior Engineer,2002-03-30,40000
41173,Maren,Aseltine,Senior Engineer,2002-03-29,42081
467970,Utz,Kuzuoka,Senior Staff,2002-03-29,63653
261136,Vishv,Joslin,Senior Staff,2002-03-29,103702
53162,Marke,Bamford,Senior Engineer,2002-03-29,47988
46440,Pranav,Rosay,Engineer,2002-03-28,53108
287247,Temple,Michaeli,Senior Engineer,2002-03-28,40000
210509,Shichao,Braunschweig,Senior Staff,2002-03-28,40000
24207,Frazer,Rodham,Engineer,2002-03-27,40389
443747,Sorina,Genther,Senior Staff,2002-03-26,62440
33183,Haldun,Veldwijk,Senior Engineer,2002-03-26,48354
23151,Ortrun,Lunt,Senior Engineer,2002-03-26,91783
273718,Padma,Nitto,Senior Engineer,2002-03-25,66725
221850,Mitsuyuki,Ritzmann,Engineer,2002-03-25,40000
38267,Abdelghani,Armand,Senior Engineer,2002-03-25,53738
489381,Elzbieta,VanScheik,Senior Engineer,2002-03-25,44966
28782,Marl,Yemenis,Engineer,2002-03-25,48475
462510,Kshitij,Barvinok,Senior Engineer,2002-03-25,40000
223314,Tamiya,Rahier,Senior Staff,2002-03-25,49113
231702,Sahrah,Vieri,Senior Staff,2002-03-25,56117
299256,Lucien,Maraist,Senior Engineer,2002-03-24,40000
97670,Flemming,Yurek,Senior Staff,2002-03-24,58582
256969,Kazuhisa,Keohane,Senior Engineer,2002-03-24,45605
264670,Dinkar,Ferretti,Senior Staff,2002-03-24,47463
297423,Nirmal,Luca,Senior Engineer,2002-03-23,40000
71458,Kazuhiro,Welham,Senior Engineer,2002-03-23,40000
263920,Pintsang,Gecsel,Senior Staff,2002-03-23,60182
284530,Almudena,Borstler,Senior Engineer,2002-03-23,47670
428889,Perry,Brizzi,Engineer,2002-03-21,40000
244836,Tianruo,Cairo,Senior Engineer,2002-03-21,47409
462875,Francoise,Picaronny,Senior Engineer,2002-03-21,55193
48503,Pranas,Gammage,Engineer,2002-03-21,68225
50707,Uno,Coney,Senior Engineer,2002-03-20,46266
411794,Amabile,Kakkar,Senior Staff,2002-03-20,40000
405123,Zeljko,Walstra,Senior Staff,2002-03-20,48381
274090,Franziska,Peng,Senior Staff,2002-03-19,47080
72087,Teiji,Chartres,Senior Engineer,2002-03-19,40000
25004,Youpyo,Schurmann,Senior Engineer,2002-03-19,58960
260790,Niteen,Perfilyeva,Senior Engineer,2002-03-19,40000
82683,Pantung,Dayang,Senior Staff,2002-03-19,45702
439072,Snehasis,Kavanagh,Senior Staff,2002-03-18,73853
286634,Halsur,Underwood,Senior Staff,2002-03-18,62280
458054,Yagil,Benaini,Senior Engineer,2002-03-18,40000
36043,Fai,Rubsam,Senior Staff,2002-03-18,90719
54932,Kamakshi,Munoz,Senior Staff,2002-03-17,61454
474474,Kazuhira,Lammel,Senior Staff,2002-03-17,71395
221351,Odoardo,Chepyzhov,Senior Staff,2002-03-17,88868
36491,Margareta,Luon,Senior Engineer,2002-03-16,52847
401179,Conrado,Kalloufi,Senior Staff,2002-03-16,55543
21361,Shooichi,Lally,Senior Staff,2002-03-16,84832
238053,Lein,Baca,Senior Staff,2002-03-16,92059
202937,Heejo,Schlegelmilch,Senior Staff,2002-03-16,85624
409374,Vesna,Gischer,Senior Engineer,2002-03-16,40000
282834,Bodo,Reeken,Senior Staff,2002-03-16,55968
277892,Pintsang,Heyers,Senior Engineer,2002-03-16,47112
17834,Zhilian,Fiutem,Senior Engineer,2002-03-16,40000
